ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
2544,13,16.83,502,523.5,524.67,535.33,1,519,545,507,539
2547,8,12,486,515,499.33,511,0,489,516,512,534
2550,14,15,523,523,528,529.67,1,516,516,517,512
2572,11,14.75,513,517.5,509.33,533.33,1,507,532,497,517
2584,17,17.75,503.5,505.5,508,511.33,1,496,507,512,512
2587,9,10.25,510,518.5,494.33,506,0,500,500,502,522
2604,12,15.25,512.5,516,494.67,508,0,503,502,502,522
2605,5,8.83,491,507,466.67,504.33,1,467,509,447,502
2606,12,13,483,489,507.67,512.33,1,503,500,507,497
2610,14,14.92,511.5,509,524.67,535.33,1,519,522,534,539
2613,5,6,,452,447,470.33,0,,479,418,442
2617,5,5.92,,491.5,478,487,1,,461,433,456
2620,14,17.42,511,520,529.67,549.67,0,540,554,528,539
2636,11,14.25,511,513,501,507.67,1,489,502,497,517
2637,9,17,495,520,492.67,,0,489,538,487,
2653,5,5.92,,466.5,470.33,474.67,0,,464,437,456
2656,5,6.08,,462.5,478,485.67,0,,473,433,452
2694,9,12.5,495.5,513.5,489.67,509.33,1,510,516,492,522
2695,8,11,492,507,465.33,496.67,0,470,481,492,512
2708,18,18.83,511,498,519.67,524.33,1,519,531,512,507
2714,17,18.33,532.5,534.5,541.67,535,1,525,534,539,539
2715,6,6.83,441.5,462.5,470.33,473,1,473,482,452,452
2716,6,8.58,470,503.5,485.33,502.67,0,496,522,452,497
2718,10,11.75,503,521.5,513,521.33,1,503,510,522,512
2740,17,18.75,523,526.5,541.67,545.33,1,543,560,539,545
2747,10,11.58,472.5,490,484.33,487.33,0,482,482,476,497
2748,6,7.42,466,472,459.33,460.67,1,455,461,437,452
2753,10,13,514.5,528.5,502.67,533,1,513,545,512,522
2754,10,11.25,510,525,501,504.33,1,516,500,512,522
2771,10,11.08,495.5,487.5,479.67,485.67,0,479,486,492,502
2772,9,9.83,471,488,479.33,489.67,0,464,470,461,476
2773,9,19,498.5,533,512.33,,0,510,535,517,
2774,10,18,489,522,507.67,,1,507,535,507,
2781,14,15.42,509,520,539.67,545.33,0,525,522,566,551
2782,17,17.92,518,525.5,545.33,549,0,543,540,545,551
2783,17,17.67,518.5,511.5,538,531.33,0,543,534,534,528
