ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
9528,2,4.67,,,444.67,470,1,,,413,452
9542,2,4.5,,,419,446,1,,,398,418
9543,2,4.25,,,410.33,442.67,0,,,381,418
9553,2,3.83,,,399.33,445.33,1,,,348,391
9554,3,4.75,,,419.67,452.33,1,,,392,418
9562,3,4.58,,,430,471.67,0,,,372,428
9563,2,3.92,,,392.33,439.33,1,,,348,391
9570,2,4.58,,,409.67,442.67,0,,,361,408
9571,2,4.58,,,411.67,442,0,,,333,408
9572,3,4.83,,,416.67,455.67,1,,,375,433
9574,3,4.67,,,409,444,0,,,333,391
9575,3,4.67,,,424.33,460.33,0,,,378,442
9576,2,4.33,,,414.67,466.67,0,,,348,428
9577,2,5.08,,,426.33,449,1,,,378,428
9583,2,4.67,,,419.67,467,1,,,386,442
9585,3,4.5,,,418.67,460.33,0,,,361,418
9602,2,4.42,,,430,446.33,0,,,409,423
9610,2,4.83,,,406.67,441,0,,,348,437
9611,2,5,,,426.67,468,0,,,378,437
9612,2,4.5,,,392.67,459.33,1,,,348,433
9613,2,4.25,,,401.33,456,1,,,361,442
9614,2,4.75,,,407,458.67,1,,,360,433
9615,2,4.33,,,392,432.33,0,,,348,418
9616,2,4.75,,,427.67,462,0,,,348,437
9618,2,5,,,420,458.67,0,,,348,433
9623,2,4.58,,,395,432.33,1,,,367,360
9624,2,4.33,,,396.67,437,0,,,371,428
9625,2,5.17,,,434.67,461.67,1,,,401,428
9628,3,5.67,,477.5,431,462,0,,466,395,447
9629,2,4.75,,,416,448.33,1,,,383,433
9630,2,4.08,,,420.67,462.33,1,,,381,428
9632,3,5.25,,456.5,432.33,459.33,1,,463,385,428
9633,2,5.5,,471.5,437,475,0,,453,397,442
9639,3,5,,,440.67,466.67,1,,,403,447
9657,2,4.58,,,405.67,430.33,1,,,333,397
9658,3,4.58,,,408.67,432.67,1,,,348,360
9677,2,4.92,,,414,439.33,1,,,383,413
9679,2,4.5,,,414.33,442,1,,,367,408
